Name KA;Bundesland;Rechtswert;Hochwert;Koordinatensystem;Ausbaugröße;Jahresabwassermenge [m^3/a];Abwassereinigung;pl_n_tech;pl_p_tech;pl_uv;pl_chlorination;pl_ozonation;pl_sand_filtration;pl_micro_filtration;pl_other;pl_other_comment;N-Ablauffracht [kg/a];P-Ablauffracht [kg/a];Einleitgewässer;Flusseinzugsgebiet;Flussgebietseinheit;lat;long
4610022001 KA Brake-Golzwarden;NI;3466537;5914510;GAUSS_KRUEGER_3GS;34000;1310513;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3671.620588;1397.880533;Weser;Weser;Weser;53.36133152;8.49629955
2514022003 KA Barnstorf;NI;3466564;5843164;GAUSS_KRUEGER_3GS;18500;700842;weitergehende Beh.;1;1;0;0;0;0;1;0;(null);5256.3;280;Hunte;Weser;Weser;52.72025709;8.50410072
4610012001 KA Ranzenbüttel;NI;3466695;5895303;GAUSS_KRUEGER_3GS;8000;329637;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2166.539183;57.686475;Weser;Weser;Weser;53.18876468;8.50068369
Geseke;NW;3466741;5725459;GAUSS_KRUEGER_3GS;30000;3773190;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);42566;1378;Gescher Bach;Rhein;Rhein;51.66248032;8.51826491
Bueren. Steinhausen;NW;3466946;5717675;GAUSS_KRUEGER_3GS;4500;196877;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1243;500;Osterschledde;Rhein;Rhein;51.59253294;8.52196184
Griesheim;HE;3467126;5524973;GAUSS_KRUEGER_3GS;30000;1747421;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12231.94;524.22;Gewässer ohne Namen;Rhein;Rhein;49.86033358;8.54175662
Griesheim;RI;3467126;5524973;GAUSS_KRUEGER_3GS;30000;1747421;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12231.94;524.22;Gewässer ohne Namen;Rhein;Rhein;49.86033358;8.54175662
SKA KLEINSTEINBACH                                          ;BW;3467420;5425865;GAUSS_KRUEGER_3GS;32100;3282981;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);31188;2298;Pfinz;Rhein;Rhein;48.96925765;8.55398992
SKA HORGEN ZVA ESCHACHTAL                                   ;BW;3467661;5333320;GAUSS_KRUEGER_3GS;32000;5146837;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);80291;6176;Eschach;Rhein;Rhein;48.13706228;8.56448237
Biedenkopf;HE;3467691;5639987;GAUSS_KRUEGER_3GS;9000;1883725;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);9041.88;1318.6;Lahn;Rhein;Rhein;50.89429554;8.5397274
Biedenkopf;RI;3467691;5639987;GAUSS_KRUEGER_3GS;9000;1883725;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);9041.88;1318.6;Lahn;Rhein;Rhein;50.89429554;8.5397274
Pfungstadt / Eschollbrücken;HE;3467758;5519474;GAUSS_KRUEGER_3GS;8000;516158;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2776.41;273.56;Gewässer ohne Namen;Rhein;Rhein;49.8109294;8.55100347
Pfungstadt / Eschollbrücken;RI;3467758;5519474;GAUSS_KRUEGER_3GS;8000;516158;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2776.41;273.56;Gewässer ohne Namen;Rhein;Rhein;49.8109294;8.55100347
SKA BÖSINGEN                                                ;BW;3467896;5344687;GAUSS_KRUEGER_3GS;6000;314060;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);2512;1099;Bendelbach;Rhein;Rhein;48.23929831;8.56677919
Kläranlage Farge;HB;3468069;5896193;GAUSS_KRUEGER_3GS;160000;5723715;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);64219;2091;Weser;Weser;Weser;53.19684575;8.52114943
Mörfelden-Walldorf / Mörfelden;HE;3468085;5537012;GAUSS_KRUEGER_3GS;48000;2972502;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);13465.43;2259.1;Geräthsbach;Rhein;Rhein;49.9686202;8.55409773
Mörfelden-Walldorf / Mörfelden;RI;3468085;5537012;GAUSS_KRUEGER_3GS;48000;2972502;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);13465.43;2259.1;Geräthsbach;Rhein;Rhein;49.9686202;8.55409773
SKA ELLMENDINGEN                                            ;BW;3468158;5419284;GAUSS_KRUEGER_3GS;28000;2527210;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);25778;3033;Pfinz;Rhein;Rhein;48.91012072;8.56458417
3524062035 KA Sandstedt;NI;3468318;5915324;GAUSS_KRUEGER_3GS;7000;26969;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);294.2;813.4;Weser;Weser;Weser;53.36875497;8.52296879
Verl. Sende;NW;3468463;5751913;GAUSS_KRUEGER_3GS;30000;1548128;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4643;773;N.N.;Ems;Ems;51.90033346;8.54074933
Lahnau / Dorlar;HE;3468585;5604504;GAUSS_KRUEGER_3GS;13500;1191347;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2740.1;1191.35;Lahn;Rhein;Rhein;50.57538562;8.55545986
Lahnau / Dorlar;RI;3468585;5604504;GAUSS_KRUEGER_3GS;13500;1191347;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2740.1;1191.35;Lahn;Rhein;Rhein;50.57538562;8.55545986
Bielefeld. Sennestadt;NW;3468592;5755108;GAUSS_KRUEGER_3GS;33000;1568534;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);13437;1223;Dalkebach;Ems;Ems;51.92905491;8.54233237
SKA DEISSLINGEN AZV OBERER NECKAR VS;BW;3468899;5327803;GAUSS_KRUEGER_3GS;75000;6864339;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);89236;4119;Neckar;Rhein;Rhein;48.08750868;8.58151861
Delbrück-Kernstadt;NW;3468985;5735445;GAUSS_KRUEGER_3GS;25000;1534697;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);9751;552;Glenne;Rhein;Rhein;51.75235821;8.54980704
SKA CALMBACH                                                ;BW;3469037;5405802;GAUSS_KRUEGER_3GS;30000;3701926;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);34798;1481;Enz;Rhein;Rhein;48.78893494;8.57759596
Lorsch;HE;3469058;5503545;GAUSS_KRUEGER_3GS;18000;888510;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);7028.11;524.22;Weschnitz;Rhein;Rhein;49.66778607;8.57032944
Lorsch;RI;3469058;5503545;GAUSS_KRUEGER_3GS;18000;888510;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);7028.11;524.22;Weschnitz;Rhein;Rhein;49.66778607;8.57032944
SKA VÖRBACH                                                 ;BW;3469335;5375260;GAUSS_KRUEGER_3GS;19000;2997592;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);25180;2098;Waldach;Rhein;Rhein;48.51430565;8.5839172
SKA AISTAIG                                                ;BW;3469359;5353684;GAUSS_KRUEGER_3GS;31000;3278810;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);60986;3607;Neckar;Rhein;Rhein;48.32028034;8.58582118
Salzkotten. Verne;NW;3469508;5728630;GAUSS_KRUEGER_3GS;48500;4322307;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);31177;3933;Heder;Rhein;Rhein;51.69113671;8.55797653
Weiterstadt;HE;3469542;5530387;GAUSS_KRUEGER_3GS;30000;1876652;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12132.55;1632.68;Schlimmergraben;Rhein;Rhein;49.90913547;8.57492972
Weiterstadt;RI;3469542;5530387;GAUSS_KRUEGER_3GS;30000;1876652;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12132.55;1632.68;Schlimmergraben;Rhein;Rhein;49.90913547;8.57492972
SKA AV UNTERER NECKAR Neckarhausen                  ;BW;3469705;5482034;GAUSS_KRUEGER_3GS;80000;4055133;weitergehende Beh.;0;1;0;0;0;0;0;0;(null);36496;3650;Neckar;Rhein;Rhein;49.47441515;8.58095012
SKA Lottstetten                        ;BW;3469784;5276522;GAUSS_KRUEGER_3GS;2150;409896;Zweitbehandlung;0;0;0;0;0;0;0;0;(null);8362;246;Rhein;Rhein;Rhein;47.62634995;8.59698843
SKA VILLINGENDORF                                           ;BW;3469933;5340556;GAUSS_KRUEGER_3GS;6000;445117;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);3205;935;Lichtgraben;Rhein;Rhein;48.20224812;8.59449538
Winterberg-Elkeringhausen;NW;3469968;5673477;GAUSS_KRUEGER_3GS;9300;1054868;weitergehende Beh.;0;0;0;0;0;0;0;1;nachg. Bio. Reinigungsstuffe;4845;1431;Orke;Weser;Weser;51.19544769;8.5693099
Bueren-Nord;NW;3470052;5714152;GAUSS_KRUEGER_3GS;26000;1723474;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);10784;1952;Alme;Rhein;Rhein;51.56104263;8.56708083
SKA KOENIGSBACH BB                                      ;BW;3470067;5424776;GAUSS_KRUEGER_3GS;55000;4727902;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);40660;4728;Kämpfelbach;Rhein;Rhein;48.95959962;8.59022213
Frankfurt am Main / Airbase;HE;3470248;5543025;GAUSS_KRUEGER_3GS;11000;195753;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1135.36;156.6;Schwarzbach;Rhein;Rhein;50.0227904;8.58378069
Frankfurt am Main / Airbase;RI;3470248;5543025;GAUSS_KRUEGER_3GS;11000;195753;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1135.36;156.6;Schwarzbach;Rhein;Rhein;50.0227904;8.58378069
SKA Jestetten            ;BW;3470257;5279302;GAUSS_KRUEGER_3GS;6400;768895;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);13071;692;Rhein;Rhein;Rhein;47.65137508;8.60309193
Alsbach-Hähnlein / Alsbach;HE;3470497;5510456;GAUSS_KRUEGER_3GS;25000;1536106;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);8909.41;1244.25;Landgraben;Rhein;Rhein;49.72999315;8.58974064
Alsbach-Hähnlein / Alsbach;RI;3470497;5510456;GAUSS_KRUEGER_3GS;25000;1536106;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);8909.41;1244.25;Landgraben;Rhein;Rhein;49.72999315;8.58974064
BRUCHSAL KLA Bruchsal;BW;3470516;5445024;GAUSS_KRUEGER_3GS;75000;5471584;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);71678;1094;Duttlacher Graben ;Rhein;Rhein;49.14168576;8.59487715
Hatzfeld (Eder) / Reddighausen-Dodenau;HE;3470640;5653590;GAUSS_KRUEGER_3GS;5800;1001774;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2414.27;901.59;Eder;Weser;Weser;51.01672727;8.58054293
Hatzfeld (Eder) / Reddighausen-Dodenau;RI;3470640;5653590;GAUSS_KRUEGER_3GS;5800;1001774;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2414.27;901.59;Eder;Weser;Weser;51.01672727;8.58054293
Pfungstadt;HE;3470671;5518156;GAUSS_KRUEGER_3GS;45000;1448844;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);6553.12;898.28;Modau;Rhein;Rhein;49.79922941;8.59157356
Pfungstadt;RI;3470671;5518156;GAUSS_KRUEGER_3GS;45000;1448844;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);6553.12;898.28;Modau;Rhein;Rhein;49.79922941;8.59157356
Weiterstadt / Gräfenhausen;HE;3470690;5533028;GAUSS_KRUEGER_3GS;11000;441990;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);728.84;260.77;Gewässer ohne Namen;Rhein;Rhein;49.93293646;8.59071062
Weiterstadt / Gräfenhausen;RI;3470690;5533028;GAUSS_KRUEGER_3GS;11000;441990;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);728.84;260.77;Gewässer ohne Namen;Rhein;Rhein;49.93293646;8.59071062
Bensheim;HE;3470803;5505809;GAUSS_KRUEGER_3GS;90000;5237360;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);35090.31;1571.2;Lindenbruchgraben;Rhein;Rhein;49.68822825;8.59433252
Bensheim;RI;3470803;5505809;GAUSS_KRUEGER_3GS;90000;5237360;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);35090.31;1571.2;Lindenbruchgraben;Rhein;Rhein;49.68822825;8.59433252
3520402043 KA Cappel-Neufeld;NI;3470926;5958657;GAUSS_KRUEGER_3GS;18000;755526;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3652.8;776.4;Cappeler Wasserlöse;Weser;Weser;53.75824064;8.5581183
Zentralkläranlage Bremerhaven;HB;3471030;5931130;GAUSS_KRUEGER_3GS;600000;11189000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);96225;2126;Weser;Weser;Weser;53.51092632;8.56225672
Winterberg-Züschen;NW;3471083;5667354;GAUSS_KRUEGER_3GS;8500;1635747;weitergehende Beh.;0;0;0;0;0;0;0;1;nachg. Bio. Reinigungsstuffe;4058;1654;Nuhne;Weser;Weser;51.14046882;8.58575335
Brilon;NW;3471119;5697135;GAUSS_KRUEGER_3GS;24000;3444930;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);23895;2426;Möhne;Rhein;Rhein;51.40815069;8.58385926
SKA St.Leon-Rot                                           ;BW;3471166;5460277;GAUSS_KRUEGER_3GS;23500;1273931;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12739;892;Kraichbach;Rhein;Rhein;49.27886376;8.60268811
Usingen / Kransberg;HE;3471172;5580290;GAUSS_KRUEGER_3GS;49000;4239608;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);34934.36;2798.14;Usa;Rhein;Rhein;50.35784665;8.59384623
Usingen / Kransberg;RI;3471172;5580290;GAUSS_KRUEGER_3GS;49000;4239608;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);34934.36;2798.14;Usa;Rhein;Rhein;50.35784665;8.59384623
Bickenbach;HE;3471191;5513713;GAUSS_KRUEGER_3GS;32000;1847550;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);11103.77;1958.4;Fanggraben;Rhein;Rhein;49.75930937;8.59912549
Bickenbach;RI;3471191;5513713;GAUSS_KRUEGER_3GS;32000;1847550;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);11103.77;1958.4;Fanggraben;Rhein;Rhein;49.75930937;8.59912549
2510442017 KA Wagenfeld;NI;3471265;5824630;GAUSS_KRUEGER_3GS;25000;455360;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);592;228;Wagenfelder Aue;Weser;Weser;52.5539775;8.57528286
SKA NEUENBÜRG                                               ;BW;3471272;5412880;GAUSS_KRUEGER_3GS;27000;1932578;weitergehende Beh.;0;1;0;0;0;0;0;0;(null);21838;1160;Enz;Rhein;Rhein;48.85268846;8.60751498
Heppenheim (Bergstraße);HE;3471527;5500200;GAUSS_KRUEGER_3GS;80000;2180711;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12283.94;1674.78;Stadtbach;Rhein;Rhein;49.63783349;8.60477405
Heppenheim (Bergstraße);RI;3471527;5500200;GAUSS_KRUEGER_3GS;80000;2180711;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12283.94;1674.78;Stadtbach;Rhein;Rhein;49.63783349;8.60477405
SKA Unterbaldingen                                          ;BW;3471564;5313369;GAUSS_KRUEGER_3GS;10000;1465838;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);20522;880;Kötach;ob. Donau bis Versickererungsst.;Donau (normales Gebiet);47.95782288;8.61824992
Oberursel / Weißkirchen;HE;3472008;5559983;GAUSS_KRUEGER_3GS;75000;4622040;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);33278.68;4622.04;Urselbach;Rhein;Rhein;50.17533011;8.60709671
Oberursel / Weißkirchen;RI;3472008;5559983;GAUSS_KRUEGER_3GS;75000;4622040;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);33278.68;4622.04;Urselbach;Rhein;Rhein;50.17533011;8.60709671
SKA AV BERGSTRASSE Weinheim                      ;BW;3472200;5492197;GAUSS_KRUEGER_3GS;230000;12639292;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);122601;2528;Weschnitz;Rhein;Rhein;49.56591061;8.61465802
Enger. Belke - Steinbeck;NW;3472268;5779751;GAUSS_KRUEGER_3GS;20000;1826883;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);8475;1498;Brandbach;Weser;Weser;52.15071897;8.59377493
SKA ALTENSTEIG                                              ;BW;3472426;5384247;GAUSS_KRUEGER_3GS;34000;4373432;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);42860;3499;Nagold;Rhein;Rhein;48.59526527;8.62515765
Battenberg (Eder) / Dodenau;HE;3472453;5653813;GAUSS_KRUEGER_3GS;2500;62350;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1055.58;99.13;Eder;Weser;Weser;51.01882144;8.60636185
Battenberg (Eder) / Dodenau;RI;3472453;5653813;GAUSS_KRUEGER_3GS;2500;62350;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1055.58;99.13;Eder;Weser;Weser;51.01882144;8.60636185
Schloß Holte-Stukenbrock;NW;3472564;5749026;GAUSS_KRUEGER_3GS;60000;2571498;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12596;1994;Wapelbach;Ems;Ems;51.87460374;8.60055866
Wyk;SH;3472567;6063141;GAUSS_KRUEGER_3GS;33000;727601;weitergehende Beh.;1;1;1;0;0;1;0;0;(null);4322;706;Nordsee;Nordsee direkt;Eider;54.69699117;8.57346462
Bielefeld. Heepen;NW;3472579;5767808;GAUSS_KRUEGER_3GS;235000;9025126;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);117772;3486;Wellbach;Weser;Weser;52.0434026;8.59927866
Biebertal / Rodheim-Bieber;HE;3472595;5608316;GAUSS_KRUEGER_3GS;13000;1348297;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4543.76;928.97;Bieber;Rhein;Rhein;50.60985509;8.61178656
Biebertal / Rodheim-Bieber;RI;3472595;5608316;GAUSS_KRUEGER_3GS;13000;1348297;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4543.76;928.97;Bieber;Rhein;Rhein;50.60985509;8.61178656
SKA Teinachtal (Neuweiler);BW;3472599;5390853;GAUSS_KRUEGER_3GS;3400;524380;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);3461;944;Teinach;Rhein;Rhein;48.65467687;8.62706556
Brilon-Petersborn-Gudenhagen;NW;3472733;5692748;GAUSS_KRUEGER_3GS;4500;445467;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1006;515;Hoppecke;Weser;Weser;51.36879961;8.60739237
Frankfurt am Main / Niederrad/Griesheim;HE;3472779;5550323;GAUSS_KRUEGER_3GS;1350000;74338100;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);735947.19;52780.05;Main;Rhein;Rhein;50.08852197;8.61857956
Frankfurt am Main / Niederrad/Griesheim;RI;3472779;5550323;GAUSS_KRUEGER_3GS;1350000;74338100;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);735947.19;52780.05;Main;Rhein;Rhein;50.08852197;8.61857956
Darmstadt / Eberstadt;HE;3472857;5519714;GAUSS_KRUEGER_3GS;50000;2062896;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);6683.78;1010.81;Modau;Rhein;Rhein;49.81333965;8.62182764
Darmstadt / Eberstadt;RI;3472857;5519714;GAUSS_KRUEGER_3GS;50000;2062896;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);6683.78;1010.81;Modau;Rhein;Rhein;49.81333965;8.62182764
Dautphetal / Elmshausen;HE;3472927;5636458;GAUSS_KRUEGER_3GS;15000;4647665;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);9202.37;2370.3;Lahn;Rhein;Rhein;50.86284289;8.61440783
Dautphetal / Elmshausen;RI;3472927;5636458;GAUSS_KRUEGER_3GS;15000;4647665;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);9202.37;2370.3;Lahn;Rhein;Rhein;50.86284289;8.61440783
SKA ROTTWEIL                                                ;BW;3472927;5337279;GAUSS_KRUEGER_3GS;52000;5232247;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);62264;4709;Neckar;Rhein;Rhein;48.1729127;8.634982
SKA DIETINGEN                                              ;BW;3473020;5340440;GAUSS_KRUEGER_3GS;2170;349949;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);3499;140;Wettebach;Rhein;Rhein;48.20134396;8.63603119
Bünde. Spradow;NW;3473198;5785453;GAUSS_KRUEGER_3GS;64350;4706022;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);34794;3652;Else;Weser;Weser;52.20200816;8.60691165
Darmstadt;HE;3473210;5527897;GAUSS_KRUEGER_3GS;240000;12762681;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);45052.26;5105.07;Landgraben;Rhein;Rhein;49.88692497;8.6261659
Darmstadt;RI;3473210;5527897;GAUSS_KRUEGER_3GS;240000;12762681;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);45052.26;5105.07;Landgraben;Rhein;Rhein;49.88692497;8.6261659
Hoevelhof;NW;3473220;5744064;GAUSS_KRUEGER_3GS;20000;1030305;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);10476;1005;Ems;Ems;Ems;51.83003994;8.61046776
UBSTADT-WEIHER KLA Ubstadt-Weiher;BW;3473220;5449694;GAUSS_KRUEGER_3GS;18000;1487296;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);14576;2231;Kraichbach;Rhein;Rhein;49.18380046;8.6316245
SKA DETTINGEN;BW;3473315;5364807;GAUSS_KRUEGER_3GS;9000;814867;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);3504;1304;Neckar;Rhein;Rhein;48.42048742;8.63845526
SKA ENGELSBRAND                                             ;BW;3473408;5411119;GAUSS_KRUEGER_3GS;4780;848732;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);6535;594;Engelsbach;Rhein;Rhein;48.83694878;8.63673482
Brilon-Alme;NW;3473539;5703262;GAUSS_KRUEGER_3GS;4000;947673;weitergehende Beh.;0;1;0;0;0;0;0;0;(null);7293;1335;Alme;Rhein;Rhein;51.46333848;8.61818043
AV WEIßACH-U. OB.SAALBACHTAL KLA Heidelsheim           ;BW;3473549;5441808;GAUSS_KRUEGER_3GS;100000;8103167;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);96428;7293;Saalbach;Rhein;Rhein;49.11290691;8.63665615
SKA GLATT  AV UNTERES GLATTAL                              ;BW;3473555;5362024;GAUSS_KRUEGER_3GS;10500;1497896;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);15129;1049;Neckar;Rhein;Rhein;48.39547069;8.64187348
Bielefeld. Brake;NW;3473670;5770301;GAUSS_KRUEGER_3GS;260000;15280000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);148483;3649;Johannisbach;Weser;Weser;52.06586029;8.61498748
Langen;RI;3473720;5539190;GAUSS_KRUEGER_3GS;75000;5461231;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);45273.6;5952.74;Geräthsbach;Rhein;Rhein;49.9884761;8.63249213
Langen;HE;3473720;5539190;GAUSS_KRUEGER_3GS;75000;5461231;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);45273.6;5952.74;Geräthsbach;Rhein;Rhein;49.9884761;8.63249213
SKA SULZ                                                ;BW;3473738;5358988;GAUSS_KRUEGER_3GS;10500;2229472;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);12485;1115;Neckar;Rhein;Rhein;48.36817616;8.64453478
Hiddenhausen;NW;3473793;5783012;GAUSS_KRUEGER_3GS;22400;1640000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);5993;1488;Brandbach;Weser;Weser;52.18009976;8.61580291
AV KRAICHBACHNIEDERUNG KLA Kronau;BW;3473840;5454883;GAUSS_KRUEGER_3GS;33000;2765850;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);24893;2489;Kraichbach;Rhein;Rhein;49.23048427;8.63979017
Lübbecke;NW;3474159;5798937;GAUSS_KRUEGER_3GS;130000;5335354;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);31640;615;Roncevabach;Weser;Weser;52.32323185;8.61993587
SKA Trossingen                                              ;BW;3474252;5327056;GAUSS_KRUEGER_3GS;21700;2112224;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);35063;1267;Trosselbach;Rhein;Rhein;48.08102996;8.65341572
SKA BÖHRINGEN AZV UNTERES SCHLICHEMTAL                      ;BW;3474447;5344620;GAUSS_KRUEGER_3GS;6750;1175003;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);8343;1293;Schlichem;Rhein;Rhein;48.23899438;8.65497546
SKA NEUFRA                                      ;BW;3474475;5332884;GAUSS_KRUEGER_3GS;21000;3250176;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);41602;3250;Prim;Rhein;Rhein;48.13345179;8.65605913
KRAICHTAL KLA Kraichtal                                 ;BW;3474633;5446173;GAUSS_KRUEGER_3GS;23000;2257901;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);21450;1806;Kraichbach;Rhein;Rhein;49.1522012;8.65122875
Hallenberg;NW;3474799;5663221;GAUSS_KRUEGER_3GS;6000;845161;weitergehende Beh.;0;0;0;0;0;0;0;1;nachg. Bio. Reinigungsstuffe;4373;1166;Nuhne;Weser;Weser;51.10349455;8.63913859
SKA  AZV HEIDELBERG                                         ;BW;3474830;5477619;GAUSS_KRUEGER_3GS;360000;22133920;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);243473;11067;Neckarkanal Schwabenheim;Rhein;Rhein;49.4349533;8.65194457
Hallenberg-Hesborn;NW;3474945;5667803;GAUSS_KRUEGER_3GS;2000;123745;weitergehende Beh.;0;0;0;0;0;0;0;1;nachg. Bio. Reinigungsstuffe;3287;200;Ölfe;Weser;Weser;51.14468665;8.64090414
SKA SCHÖMBERG CW;BW;3474998;5406847;GAUSS_KRUEGER_3GS;25000;1166121;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);11661;117;Reichenbach;Rhein;Rhein;48.79860049;8.65865447
Rahden;NW;3475018;5810664;GAUSS_KRUEGER_3GS;21000;1182506;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4081;800;Kleine Aue;Weser;Weser;52.42865783;8.63166082
Willingen / Schwalefeld;HE;3475145;5688785;GAUSS_KRUEGER_3GS;17000;1520811;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);7026.14;1049.35;Eder;Weser;Weser;51.33328987;8.64230443
Willingen / Schwalefeld;RI;3475145;5688785;GAUSS_KRUEGER_3GS;17000;1520811;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);7026.14;1049.35;Eder;Weser;Weser;51.33328987;8.64230443
Gießen / Margaretenhütte/Südliche Lahns;HE;3475218;5604321;GAUSS_KRUEGER_3GS;300000;23601340;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);153408.71;10856.61;Lahn;Rhein;Rhein;50.57405989;8.64910861
Gießen / Margaretenhütte/Südliche Lahns;RI;3475218;5604321;GAUSS_KRUEGER_3GS;300000;23601340;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);153408.71;10856.61;Lahn;Rhein;Rhein;50.57405989;8.64910861
Espelkamp;NW;3475274;5806629;GAUSS_KRUEGER_3GS;33000;1721940;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);24251;1258;Kleine Aue;Weser;Weser;52.39240861;8.63572237
